Processes: 381 total, 3 running, 378 sleeping, 1640 threads 
2024/10/28 13:36:50
Load Avg: 2.34, 2.42, 2.33 
CPU usage: 11.73% user, 17.33% sys, 70.93% idle 
SharedLibs: 307M resident, 47M data, 18M linkedit.
MemRegions: 252970 total, 1806M resident, 81M private, 524M shared.
PhysMem: 8082M used (2128M wired), 108M unused.
VM: 27T vsize, 3099M framework vsize, 107178992(0) swapins, 109325453(0) swapouts.
Networks: packets: 79133800/100G in, 39644768/12G out.
Disks: 33642606/1167G read, 15164375/944G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
93714  tipsd            0.0  00:00.40 2     1   108    3332K 0B    2568K 93714 1     sleeping *0[118]     0.00000 0.00000    502 9465      267     716       379       10278     2318       4968       254     678      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
93341  XprotectService  0.0  00:12.96 5     4   27     1628K 0B    344K  93341 1     sleeping *0[16]      0.00000 0.00000    0   424071    842     137       102       626856    2427       21715      25793   12       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
92795  PlugInLibrarySer 0.0  00:00.01 2     1   25     660K  0B    648K  92795 1     sleeping *0[2]       0.00000 0.00000    502 993       104     113       44        440       230        71         25      0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
92578  Notes            0.0  00:25.26 7     5   373    77M   72K   50M   92578 1     sleeping  0[485]     0.00000 0.00000    502 355566    988     80444     21451     228978    217015     163946     4441    10947    0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
92412  PerfPowerService 0.0  00:51.38 4     2   1162   7700K 256K  1712K 92412 1     sleeping *1[10]      0.00000 0.00000    0   76108     254     245585    123862    703543    311404     272294     2050    1241     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
90442  logd_helper      0.0  00:00.06 2     1   20     616K  0B    348K  90442 1     sleeping *0[1]       0.00000 0.00000    0   2204      99      93        59        1081      226        239        3       1        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
90441  RoutePickerViewS 0.0  00:01.94 3     1   251    9288K 0B    6096K 90441 1     sleeping  0[798]     0.00000 0.00000    502 39571     372     8974      3130      22563     29411      23467      2054    275      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
90396  com.apple.FaceTi 0.0  00:00.08 2     1   42     4164K 0B    4140K 90396 1     sleeping *0[4]       0.00000 0.00000    502 4423      154     150       54        1232      433        487        39      2        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
90395  callservicesd    0.0  00:02.76 3     1   321    8012K 0B    5348K 90395 1     sleeping *0[80]      0.00000 0.00000    502 52529     620     8963      5611      49321     33903      32581      1188    327      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
90393  cloudpaird       0.0  00:00.83 2     1   107    3112K 0B    2460K 90393 1     sleeping *0[344]     0.00000 0.00000    502 25355     308     1390      1333      10903     5332       8614       298     95       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
